mean_dist_day,mean_over_speed_perc,Cluster
37.62,3,2
44.39,3,2
51.67,5,2
59.58,4,2
42.08,7,2
34.59,5,2
60.39,8,2
59.46,6,2
56.72,3,2
55.09,4,2
59.63,3,2
54.41,4,2
46.15,5,2
29.92,4,2
52.07,3,2
57.64,6,2
55.9,3,2
44.65,4,2
60.79,6,2
50.38,6,2
62.09,3,2
51.05,4,2
53.11,2,2
64.75,7,2
61.68,6,2
51.3,5,2
59.63,1,2
56.13,6,2
42.12,4,2
60.37,7,2
37.6,6,2
51.12,4,2
46.04,2,2
42.52,10,2
66.51,10,2
37.17,5,2
55.8,5,2
56.27,4,2
65.04,8,2
43.77,6,2
63.01,7,2
42.77,6,2
44.26,8,2
55.84,9,2
52.42,7,2
29.67,5,2
46.95,8,2
46.28,5,2
55.74,5,2
56.12,3,2
54.26,4,2
56.04,1,2
60.79,8,2
50.19,5,2
50.72,6,2
52.72,2,2
61.67,5,2
47.17,5,2
51.93,5,2
38.38,6,2
57.32,9,2
39.57,4,2
68.99,4,2
35.39,7,2
56.91,8,2
48.66,4,2
57.91,4,2
41.25,6,2
46.26,8,2
27.99,2,2
40.4,5,2
45.54,3,2
34.68,6,2
48.75,6,2
46.79,7,2
53.83,6,2
51.13,5,2
61.03,7,2
32.3,5,2
55.84,5,2
29.73,4,2
58.43,5,2
45.56,3,2
56.99,7,2
42.04,4,2
54.03,3,2
49.17,5,2
55.12,6,2
39.28,6,2
39.88,4,2
34.49,8,2
50.52,7,2
40.7,2,2
53.33,3,2
34.04,5,2
45.54,11,2
52.09,8,2
45.01,8,2
52.06,3,2
58.46,5,2
37.58,7,2
46.91,2,2
48.57,8,2
25.39,7,2
53.29,8,2
55.97,3,2
39.14,7,2
48.74,4,2
52.26,2,2
67.57,7,2
38.43,4,2
29.59,4,2
39.81,8,2
37.84,3,2
53.56,2,2
48.79,2,2
37.66,2,2
52.05,7,2
65.27,6,2
38.74,6,2
29.28,3,2
21.6,3,2
28.7,0,2
46.08,7,2
42.02,5,2
49.96,1,2
48.05,9,2
61.36,5,2
52.83,7,2
69.19,4,2
33.2,3,2
51.27,5,2
54.48,2,2
42.47,7,2
46.2,5,2
47.92,2,2
49.43,5,2
38.26,5,2
30.5,5,2
48.88,7,2
49.45,4,2
60.69,6,2
57.36,7,2
51.15,6,2
30.3,1,2
55.41,3,2
44.98,3,2
56.9,10,2
36.37,5,2
55.2,1,2
66.98,9,2
65.93,3,2
50.89,5,2
40.97,3,2
46.17,3,2
43.19,5,2
42.01,6,2
66.26,6,2
48.41,6,2
64.68,10,2
65.17,2,2
40.48,4,2
38.74,7,2
39.83,4,2
42.94,3,2
54.04,7,2
35.32,6,2
62.47,4,2
39.72,7,2
47.95,9,2
40.29,7,2
51.25,5,2
51.77,3,2
32.28,8,2
44.08,5,2
52.84,4,2
48.98,3,2
57.0,8,2
58.22,5,2
41.38,2,2
45.01,7,2
43.28,9,2
52.78,9,2
37.25,8,2
53.88,3,2
53.84,6,2
52.7,1,2
44.56,4,2
50.16,7,2
51.76,4,2
40.61,4,2
56.47,8,2
41.94,6,2
62.92,7,2
65.48,7,2
48.82,2,2
39.13,4,2
30.27,4,2
47.01,6,2
39.04,4,2
36.6,4,2
60.09,3,2
38.5,7,2
60.46,3,2
48.26,5,2
46.74,2,2
44.85,2,2
61.38,6,2
63.88,6,2
44.43,4,2
59.64,6,2
55.07,1,2
56.72,7,2
52.33,4,2
47.04,7,2
45.59,6,2
45.47,5,2
50.18,3,2
38.85,8,2
51.57,3,2
56.38,1,2
43.52,8,2
53.46,5,2
45.74,4,2
46.48,6,2
50.63,8,2
43.06,3,2
34.77,4,2
47.34,5,2
59.12,11,2
41.22,4,2
46.41,10,2
45.58,4,2
45.28,7,2
55.43,6,2
54.32,4,2
40.04,3,2
62.46,5,2
60.24,4,2
54.78,6,2
52.11,4,2
46.1,6,2
46.13,9,2
45.62,5,2
56.74,3,2
42.62,4,2
74.88,7,2
33.22,3,2
39.93,4,2
60.35,2,2
54.66,4,2
34.96,6,2
58.1,8,2
46.64,2,2
63.0,6,2
48.1,9,2
38.66,3,2
48.91,0,2
63.5,4,2
44.26,4,2
36.23,3,2
45.16,5,2
49.35,8,2
49.73,11,2
54.63,5,2
54.04,7,2
60.63,6,2
40.05,0,2
61.61,1,2
45.63,8,2
40.1,4,2
35.24,7,2
49.02,7,2
50.07,8,2
54.38,4,2
56.85,3,2
42.39,4,2
49.53,4,2
37.42,8,2
57.2,6,2
38.4,4,2
50.1,5,2
53.42,1,2
50.55,4,2
45.7,7,2
48.56,3,2
59.31,7,2
46.6,4,2
49.49,3,2
40.67,5,2
62.34,3,2
56.89,7,2
52.19,4,2
39.67,5,2
49.69,5,2
56.33,3,2
44.21,5,2
43.54,6,2
33.63,5,2
58.27,1,2
40.18,6,2
50.38,5,2
37.68,5,2
50.65,3,2
44.0,7,2
50.05,8,2
56.99,7,2
66.04,5,2
33.17,2,2
45.31,6,2
64.43,8,2
52.05,4,2
45.12,4,2
55.8,8,2
55.43,4,2
43.25,4,2
55.56,4,2
47.95,8,2
66.13,5,2
50.75,2,2
64.75,4,2
36.52,7,2
60.46,4,2
49.37,9,2
50.69,7,2
70.29,8,2
50.64,2,2
38.68,4,2
56.9,3,2
43.42,8,2
40.0,6,2
66.08,4,2
62.75,6,2
50.25,10,2
41.55,3,2
51.98,3,2
56.02,5,2
47.55,3,2
45.86,6,2
44.31,4,2
63.6,2,2
51.62,6,2
47.76,3,2
49.68,9,2
45.02,5,2
37.79,3,2
49.27,5,2
39.67,9,2
50.9,9,2
29.54,5,2
44.2,6,2
59.43,5,2
45.78,8,2
48.82,5,2
51.48,6,2
36.11,9,2
47.52,6,2
57.27,9,2
47.95,5,2
49.19,7,2
54.0,4,2
52.27,7,2
62.39,4,2
48.22,5,2
71.83,5,2
42.53,3,2
41.02,9,2
39.76,8,2
54.67,4,2
65.55,3,2
56.67,5,2
58.09,3,2
45.26,11,2
48.47,6,2
60.23,2,2
39.97,3,2
67.34,1,2
67.87,3,2
29.69,6,2
54.15,5,2
51.15,3,2
50.1,5,2
68.64,3,2
54.16,3,2
43.23,3,2
63.62,4,2
52.73,3,2
64.16,7,2
50.08,3,2
47.15,3,2
49.3,1,2
43.37,4,2
49.88,5,2
55.95,8,2
47.52,8,2
56.61,6,2
53.26,6,2
55.77,5,2
44.67,7,2
55.07,4,2
39.75,3,2
65.73,5,2
49.55,3,2
59.63,4,2
54.67,5,2
56.32,8,2
44.71,6,2
45.95,3,2
54.84,6,2
47.34,6,2
45.73,3,2
48.84,7,2
57.45,6,2
60.97,9,2
50.64,4,2
52.12,5,2
34.72,5,2
53.49,4,2
56.82,3,2
50.26,5,2
44.29,6,2
29.93,4,2
58.14,7,2
43.63,8,2
52.03,4,2
55.81,6,2
69.54,7,2
35.54,6,2
37.06,8,2
44.46,4,2
53.36,11,2
54.1,8,2
41.54,8,2
37.17,2,2
48.39,5,2
51.92,7,2
60.39,7,2
40.03,4,2
32.36,5,2
65.55,2,2
58.83,3,2
59.37,6,2
74.91,5,2
51.97,5,2
35.67,5,2
41.93,4,2
48.01,6,2
29.85,6,2
57.22,7,2
52.76,4,2
71.84,3,2
57.11,5,2
45.24,3,2
65.49,6,2
58.16,9,2
30.44,3,2
58.54,7,2
55.85,5,2
54.94,7,2
66.46,6,2
44.42,6,2
63.96,5,2
44.38,5,2
67.31,5,2
54.63,2,2
50.98,0,2
66.8,6,2
52.43,6,2
39.4,8,2
50.63,3,2
49.28,6,2
72.16,5,2
36.74,7,2
52.48,8,2
59.95,7,2
65.88,8,2
49.83,9,2
60.85,5,2
59.7,10,2
66.76,2,2
50.68,4,2
44.67,5,2
53.88,4,2
48.34,4,2
46.08,3,2
58.53,8,2
53.43,6,2
51.34,8,2
74.11,6,2
55.79,5,2
71.3,8,2
59.34,9,2
73.13,3,2
38.97,4,2
31.88,7,2
26.14,5,2
35.39,8,2
60.21,6,2
49.17,0,2
35.29,3,2
51.57,5,2
56.01,4,2
59.08,5,2
56.78,6,2
56.02,5,2
31.3,5,2
56.1,9,2
60.55,7,2
64.6,3,2
32.09,6,2
52.49,6,2
61.01,7,2
57.26,6,2
34.42,6,2
44.44,7,2
45.53,5,2
44.78,6,2
31.13,6,2
39.02,4,2
53.34,2,2
51.01,5,2
48.81,6,2
50.16,4,2
66.56,4,2
51.05,4,2
51.44,5,2
49.22,5,2
44.82,7,2
55.23,8,2
45.51,3,2
44.53,4,2
25.9,3,2
61.28,6,2
30.89,5,2
41.6,6,2
69.79,6,2
47.48,3,2
50.64,3,2
62.55,3,2
40.97,6,2
64.38,6,2
72.33,5,2
57.8,8,2
60.3,7,2
45.25,8,2
61.46,6,2
50.14,3,2
51.31,2,2
41.42,6,2
33.65,8,2
37.09,7,2
35.76,7,2
54.8,6,2
41.47,6,2
43.54,4,2
42.72,3,2
56.12,2,2
51.91,6,2
39.26,7,2
50.81,5,2
53.0,5,2
43.65,8,2
58.17,5,2
58.88,5,2
49.9,6,2
49.94,3,2
63.02,3,2
41.73,4,2
58.95,2,2
52.33,6,2
49.25,7,2
71.63,6,2
53.34,8,2
40.49,5,2
35.32,2,2
41.45,3,2
61.34,5,2
43.15,8,2
42.32,5,2
30.44,4,2
56.59,6,2
45.05,4,2
47.22,7,2
34.87,4,2
47.16,4,2
44.75,3,2
41.62,9,2
47.67,4,2
51.09,7,2
54.14,8,2
74.51,5,2
51.47,7,2
29.96,6,2
35.52,6,2
51.63,7,2
31.73,8,2
65.39,5,2
41.39,10,2
43.95,5,2
54.48,8,2
58.12,8,2
53.04,4,2
43.05,4,2
56.28,7,2
42.21,8,2
35.47,3,2
42.97,8,2
70.3,2,2
41.82,3,2
63.43,10,2
45.45,3,2
56.25,6,2
41.64,1,2
49.85,5,2
44.93,5,2
45.35,6,2
66.26,3,2
56.11,1,2
40.37,4,2
27.14,4,2
46.89,6,2
52.27,1,2
40.92,6,2
58.37,2,2
32.08,4,2
50.93,6,2
67.87,2,2
59.36,7,2
47.05,5,2
59.87,4,2
32.52,10,2
43.65,2,2
49.98,4,2
61.27,6,2
40.5,4,2
62.04,5,2
50.56,3,2
31.4,7,2
41.91,6,2
38.34,4,2
42.44,3,2
45.94,6,2
60.7,3,2
55.02,3,2
50.91,5,2
54.92,2,2
65.84,6,2
55.84,4,2
51.61,2,2
45.94,3,2
31.39,5,2
41.02,7,2
34.61,6,2
34.0,6,2
34.34,0,2
53.94,4,2
53.75,3,2
69.02,5,2
60.75,5,2
50.41,3,2
49.24,5,2
65.23,5,2
44.8,7,2
48.77,6,2
48.43,3,2
56.71,8,2
53.06,5,2
26.95,8,2
46.54,4,2
43.23,4,2
59.07,1,2
35.88,4,2
49.41,7,2
45.0,7,2
58.96,6,2
60.01,6,2
43.02,7,2
43.2,7,2
62.91,7,2
39.21,6,2
40.92,7,2
41.31,5,2
69.15,3,2
69.44,8,2
48.14,3,2
53.95,3,2
62.97,2,2
74.19,9,2
51.73,3,2
28.32,3,2
46.75,4,2
47.98,8,2
43.98,4,2
41.47,6,2
77.94,8,2
53.72,6,2
60.71,6,2
52.3,4,2
56.09,6,2
25.69,8,2
45.3,5,2
58.88,6,2
59.43,6,2
57.76,5,2
47.29,3,2
28.69,6,2
42.88,5,2
57.96,2,2
46.72,3,2
60.59,8,2
36.03,6,2
64.94,1,2
53.9,4,2
49.08,5,2
38.58,3,2
38.13,4,2
46.65,3,2
46.88,6,2
49.9,4,2
48.73,8,2
31.88,6,2
62.58,5,2
61.6,3,2
52.03,4,2
28.98,5,2
64.43,3,2
48.26,3,2
53.25,3,2
45.32,4,2
49.93,11,2
50.28,6,2
48.58,8,2
67.82,6,2
59.91,6,2
64.55,7,2
58.33,3,2
32.88,6,2
57.98,6,2
52.67,6,2
51.51,5,2
54.46,3,2
69.63,5,2
49.92,2,2
48.66,6,2
38.6,2,2
39.93,5,2
66.74,6,2
40.44,6,2
52.86,5,2
39.75,8,2
61.33,1,2
57.2,2,2
65.91,3,2
40.0,9,2
49.98,4,2
66.0,3,2
52.84,4,2
59.6,5,2
48.82,6,2
41.85,6,2
53.52,9,2
47.65,6,2
56.01,6,2
46.18,1,2
64.8,8,2
69.64,8,2
56.23,2,2
34.12,4,2
61.8,1,2
31.13,4,2
73.18,8,2
55.61,6,2
51.84,2,2
59.76,4,2
54.84,7,2
36.31,6,2
29.94,4,2
49.01,4,2
47.93,5,2
54.86,4,2
34.3,8,2
53.1,4,2
41.62,4,2
67.55,9,2
60.29,6,2
60.44,3,2
30.15,6,2
48.98,7,2
45.56,4,2
46.39,7,2
54.84,3,2
45.67,7,2
47.0,5,2
40.99,7,2
50.64,5,2
53.24,3,2
61.45,9,2
48.35,3,2
33.51,4,2
47.64,5,2
31.37,5,2
41.53,5,2
56.07,6,2
54.43,4,2
65.17,4,2
50.66,6,2
56.41,7,2
49.76,5,2
44.0,4,2
55.67,2,2
53.45,5,2
48.64,6,2
39.16,5,2
43.46,6,2
48.79,5,2
51.7,5,2
34.76,5,2
41.93,6,2
64.32,4,2
45.64,6,2
49.3,5,2
41.5,4,2
54.82,5,2
48.47,4,2
43.07,1,2
64.36,6,2
66.9,5,2
60.9,6,2
42.6,5,2
60.85,5,2
66.57,2,2
53.67,6,2
65.02,11,2
43.18,4,2
52.0,3,2
54.1,4,2
47.57,6,2
49.57,5,2
44.84,7,2
55.73,1,2
37.3,5,2
55.44,5,2
47.04,4,2
51.36,9,2
70.59,2,2
56.02,6,2
46.99,7,2
53.64,3,2
39.17,4,2
39.19,8,2
52.8,7,2
55.62,3,2
43.95,3,2
39.31,6,2
42.46,5,2
47.59,4,2
40.71,5,2
31.62,2,2
31.14,9,2
39.21,6,2
50.7,7,2
47.91,4,2
54.47,4,2
47.52,2,2
65.2,7,2
59.48,4,2
62.58,5,2
50.47,6,2
53.41,3,2
83.42,5,2
58.78,3,2
41.65,7,2
53.0,3,2
56.12,0,2
37.54,5,2
46.08,7,2
34.55,7,2
46.45,4,2
66.17,6,2
44.1,2,2
56.24,5,2
53.48,5,2
70.32,4,2
46.94,6,2
36.98,6,2
49.3,3,2
27.04,6,2
45.28,6,2
50.03,2,2
68.13,2,2
26.78,2,2
58.24,5,2
46.98,6,2
34.04,9,2
53.49,4,2
44.63,2,2
51.27,6,2
62.51,4,2
42.25,5,2
39.53,6,2
46.59,4,2
27.8,6,2
52.12,7,2
49.26,7,2
55.56,5,2
40.53,4,2
53.96,1,2
44.44,7,2
61.23,3,2
32.67,3,2
36.99,3,2
49.41,4,2
57.89,6,2
50.86,5,2
57.64,8,2
51.43,5,2
37.73,3,2
58.56,3,2
45.26,4,2
37.1,6,2
44.41,3,2
50.62,7,2
55.14,1,2
39.01,5,2
52.11,7,2
64.48,5,2
48.69,6,2
57.18,5,2
59.04,6,2
48.86,7,2
59.12,7,2
45.86,7,2
60.78,0,2
56.91,5,2
34.95,0,2
47.84,4,2
48.14,2,2
44.89,1,2
65.76,9,2
41.39,8,2
66.81,5,2
58.92,3,2
46.72,7,2
44.12,2,2
53.59,2,2
60.9,5,2
38.06,7,2
64.21,7,2
56.61,8,2
48.03,5,2
48.63,4,2
46.73,5,2
51.97,5,2
60.65,5,2
54.41,6,2
65.88,5,2
38.04,4,2
26.27,4,2
60.05,6,2
50.65,4,2
50.07,4,2
44.68,1,2
69.88,7,2
48.53,6,2
61.06,8,2
54.4,4,2
65.32,3,2
48.91,2,2
47.33,3,2
49.7,3,2
35.97,7,2
55.46,5,2
49.48,4,2
45.89,8,2
45.69,3,2
70.45,6,2
58.45,6,2
65.42,6,2
38.21,5,2
42.86,4,2
44.62,2,2
58.27,6,2
34.84,8,2
56.96,7,2
58.07,11,2
51.52,8,2
36.76,7,2
51.86,4,2
57.16,4,2
48.67,3,2
59.0,4,2
54.36,2,2
41.52,4,2
46.37,5,2
51.91,6,2
65.6,6,2
61.92,4,2
40.24,5,2
65.11,5,2
26.3,7,2
41.87,6,2
51.6,6,2
43.69,4,2
63.9,7,2
72.04,3,2
50.67,4,2
57.78,1,2
69.93,3,2
56.26,6,2
44.91,7,2
52.01,7,2
41.83,5,2
49.27,5,2
40.09,5,2
75.09,5,2
44.64,4,2
41.63,6,2
54.41,5,2
27.46,5,2
52.21,5,2
74.91,4,2
25.48,5,2
52.75,4,2
45.21,7,2
49.97,6,2
55.33,5,2
30.34,6,2
53.01,4,2
58.27,6,2
41.23,6,2
46.1,4,2
60.1,5,2
51.02,7,2
52.59,4,2
43.26,2,2
50.62,8,2
46.51,8,2
49.64,5,2
50.67,4,2
65.59,9,2
45.58,7,2
55.72,5,2
44.47,4,2
55.88,5,2
47.4,6,2
64.15,8,2
61.37,1,2
35.09,4,2
47.59,5,2
53.96,4,2
63.61,5,2
45.05,4,2
43.89,5,2
57.82,7,2
50.96,3,2
42.94,5,2
67.08,1,2
49.88,6,2
37.35,5,2
53.29,6,2
37.04,5,2
50.28,4,2
50.96,6,2
46.38,6,2
34.79,4,2
38.92,7,2
46.54,4,2
62.24,10,2
50.96,1,2
53.23,6,2
53.89,2,2
74.41,5,2
50.85,5,2
62.67,1,2
36.33,8,2
50.48,8,2
43.32,4,2
50.78,2,2
49.62,4,2
52.6,4,2
45.29,9,2
64.98,3,2
41.82,4,2
55.3,4,2
52.57,7,2
51.53,2,2
46.71,4,2
52.3,3,2
43.69,6,2
29.7,6,2
53.59,5,2
48.51,8,2
29.01,3,2
56.14,9,2
56.83,5,2
59.93,7,2
52.72,4,2
59.63,3,2
32.63,4,2
26.62,5,2
66.95,5,2
35.24,2,2
66.96,4,2
54.87,6,2
70.04,1,2
45.11,6,2
44.77,2,2
75.68,7,2
53.45,5,2
55.01,6,2
34.24,4,2
52.42,5,2
37.0,5,2
49.14,6,2
49.35,6,2
32.54,8,2
52.15,4,2
47.49,5,2
54.5,5,2
31.58,6,2
59.91,7,2
34.02,6,2
57.14,2,2
38.27,8,2
33.56,7,2
57.74,4,2
51.29,5,2
51.87,4,2
41.31,5,2
16.39,8,2
56.55,5,2
41.0,6,2
31.72,2,2
63.75,4,2
67.15,7,2
33.66,8,2
40.32,6,2
52.41,3,2
56.56,4,2
50.32,5,2
50.72,5,2
25.17,6,2
45.32,6,2
45.15,7,2
38.63,4,2
63.43,4,2
32.45,6,2
34.68,7,2
49.89,2,2
66.63,9,2
34.11,5,2
56.86,4,2
46.14,5,2
69.49,1,2
67.46,4,2
37.83,7,2
52.81,5,2
35.42,3,2
48.84,4,2
58.43,2,2
37.76,5,2
29.88,4,2
49.48,2,2
36.84,5,2
53.5,5,2
48.95,2,2
51.91,6,2
72.14,6,2
51.91,6,2
32.58,6,2
52.68,3,2
58.94,5,2
63.95,3,2
36.88,5,2
57.25,3,2
44.51,6,2
58.4,7,2
38.4,4,2
44.95,5,2
47.87,4,2
35.83,6,2
24.58,4,2
48.71,5,2
56.67,3,2
48.72,6,2
47.6,1,2
55.05,6,2
62.81,6,2
50.86,4,2
51.63,4,2
27.83,5,2
50.4,7,2
53.69,5,2
48.17,4,2
38.25,6,2
54.66,3,2
42.41,7,2
52.04,1,2
67.41,4,2
50.71,7,2
48.45,6,2
58.03,4,2
64.12,4,2
41.6,7,2
42.32,6,2
69.72,4,2
60.39,7,2
57.86,6,2
58.88,6,2
54.94,7,2
48.64,4,2
69.66,4,2
55.4,9,2
42.27,4,2
58.67,1,2
58.64,1,2
49.85,8,2
37.14,2,2
33.95,5,2
40.72,6,2
56.34,6,2
72.41,7,2
48.52,7,2
68.6,4,2
61.86,7,2
52.59,5,2
50.94,6,2
58.56,7,2
62.48,7,2
27.48,5,2
37.26,1,2
70.3,3,2
42.54,5,2
54.23,5,2
52.43,11,2
54.87,4,2
33.42,4,2
67.51,7,2
52.69,1,2
55.16,7,2
52.11,4,2
54.27,6,2
56.07,5,2
46.64,5,2
39.64,4,2
43.58,7,2
54.64,5,2
39.87,4,2
52.7,7,2
45.53,4,2
50.34,6,2
53.39,4,2
44.5,8,2
62.6,6,2
53.76,4,2
54.1,7,2
56.2,6,2
49.33,7,2
72.9,7,2
45.83,2,2
57.25,0,2
66.67,5,2
34.86,3,2
51.34,6,2
49.93,5,2
49.43,7,2
49.56,4,2
64.63,8,2
68.18,5,2
56.45,6,2
35.82,5,2
51.35,6,2
48.34,5,2
45.94,6,2
42.37,5,2
60.81,6,2
36.82,5,2
47.77,6,2
59.02,3,2
60.99,4,2
63.68,4,2
40.54,5,2
47.81,6,2
49.72,4,2
58.11,7,2
60.73,5,2
47.39,7,2
63.15,0,2
71.55,4,2
55.78,7,2
44.77,3,2
36.18,5,2
55.18,5,2
67.74,1,2
59.16,8,2
55.51,8,2
40.01,1,2
49.71,6,2
56.49,4,2
55.05,7,2
57.91,7,2
50.49,3,2
56.18,6,2
51.35,2,2
48.29,5,2
30.16,5,2
57.01,7,2
42.9,6,2
64.85,6,2
61.21,7,2
31.6,5,2
43.61,3,2
35.6,1,2
55.47,9,2
37.15,7,2
48.09,5,2
49.65,11,2
31.25,4,2
54.0,6,2
47.68,4,2
48.19,6,2
37.64,7,2
63.66,1,2
34.94,5,2
34.41,4,2
47.46,2,2
60.78,6,2
55.58,4,2
44.49,4,2
36.07,5,2
49.26,7,2
64.9,6,2
53.25,3,2
54.25,7,2
48.47,3,2
50.56,5,2
45.67,7,2
59.67,3,2
47.77,5,2
51.2,9,2
52.57,5,2
56.52,7,2
63.71,6,2
63.72,8,2
65.08,3,2
48.42,5,2
41.08,2,2
46.2,5,2
47.74,7,2
50.78,5,2
62.3,5,2
38.42,2,2
51.55,6,2
41.31,6,2
57.2,5,2
51.97,7,2
34.74,4,2
62.81,4,2
55.97,4,2
54.99,6,2
58.13,4,2
66.86,6,2
45.03,11,2
53.54,7,2
23.2,8,2
64.13,6,2
53.11,3,2
62.58,8,2
57.68,2,2
29.13,5,2
58.83,5,2
44.83,7,2
40.46,7,2
58.92,4,2
56.04,6,2
41.14,6,2
48.35,7,2
56.17,1,2
47.57,5,2
44.22,5,2
52.85,4,2
41.15,7,2
47.82,4,2
66.89,3,2
43.25,7,2
74.47,5,2
47.43,2,2
49.34,3,2
56.37,3,2
50.64,4,2
60.36,5,2
45.74,5,2
60.32,5,2
59.08,5,2
40.87,5,2
63.55,1,2
54.65,4,2
53.47,4,2
41.7,5,2
55.76,7,2
53.33,5,2
49.58,4,2
40.9,5,2
54.32,5,2
52.11,11,2
54.34,3,2
41.75,5,2
49.19,5,2
46.8,6,2
30.97,8,2
42.42,4,2
30.31,6,2
32.95,10,2
58.13,6,2
64.32,3,2
39.93,4,2
40.63,3,2
48.81,6,2
40.34,2,2
54.29,9,2
47.92,7,2
55.11,6,2
58.93,6,2
34.04,6,2
50.3,8,2
51.38,4,2
42.02,1,2
39.33,6,2
49.76,7,2
46.96,1,2
58.61,5,2
32.53,4,2
38.94,8,2
46.81,9,2
50.56,5,2
37.57,6,2
49.86,5,2
53.57,4,2
35.15,5,2
36.91,6,2
60.04,5,2
41.25,3,2
49.53,7,2
44.54,7,2
53.61,3,2
62.81,7,2
49.22,8,2
52.34,7,2
55.11,3,2
50.03,9,2
54.39,3,2
47.56,5,2
39.39,8,2
46.85,7,2
37.68,7,2
50.56,5,2
179.22,95,1
192.34,69,1
140.25,92,1
184.28,70,1
200.58,50,1
197.99,95,1
199.81,32,0
168.45,70,1
197.87,74,1
172.08,87,1
164.31,45,1
162.56,56,1
165.2,74,1
211.36,5,0
157.51,59,1
208.47,26,0
180.95,85,1
167.83,70,1
144.23,49,1
163.82,79,1
186.28,4,0
182.21,72,1
149.08,78,1
171.83,50,1
212.8,51,1
185.3,49,1
170.11,49,1
175.82,80,1
234.52,88,1
164.03,86,1
200.77,79,1
168.47,56,1
184.79,89,1
158.61,71,1
192.11,68,1
176.49,82,1
190.97,76,1
175.93,53,1
157.99,44,3
197.56,57,1
140.32,56,1
162.56,23,0
181.12,58,1
197.26,76,1
156.85,58,1
164.13,99,1
187.37,86,1
174.32,28,0
145.21,96,1
178.05,29,0
183.7,74,1
121.07,57,1
171.16,51,1
148.0,66,1
162.93,75,1
163.17,91,1
184.96,65,1
178.28,71,1
190.13,52,1
167.55,70,1
176.01,70,1
157.02,21,0
173.72,84,1
224.47,52,1
219.46,75,1
156.79,46,1
193.01,43,1
191.2,70,1
183.98,61,1
181.04,58,1
192.37,99,1
185.03,41,0
202.94,80,1
178.47,99,1
213.93,47,1
188.36,63,1
164.08,71,1
173.91,75,1
175.29,34,0
208.65,45,1
212.49,25,0
183.78,56,1
162.3,74,1
164.83,53,1
172.53,76,1
179.26,79,1
187.12,99,1
191.47,93,1
202.02,38,0
188.06,75,1
201.54,90,1
165.23,57,1
183.92,29,0
166.22,77,1
167.75,41,3
219.54,39,0
209.43,64,1
145.28,91,1
185.5,67,1
168.77,55,1
174.41,36,0
169.45,67,1
159.2,46,1
184.76,56,1
228.21,61,1
151.81,67,1
158.47,100,1
186.03,65,1
169.85,99,1
154.52,51,1
198.3,99,1
149.71,78,1
182.53,99,1
204.62,38,0
224.94,27,0
177.2,87,1
182.4,83,1
189.88,97,1
214.17,73,1
159.8,58,1
150.8,8,0
149.55,7,0
154.72,19,0
188.1,15,0
151.59,4,0
209.27,11,0
184.26,7,0
184.77,15,0
168.27,14,0
178.52,17,0
190.16,12,0
176.3,18,0
195.01,10,0
176.1,5,0
186.4,19,0
158.63,13,0
190.1,6,0
198.1,3,0
165.93,1,0
162.35,13,0
203.98,11,0
177.21,16,0
192.25,12,0
164.47,7,0
210.88,12,0
171.76,12,0
180.06,8,0
166.36,1,0
203.85,12,0
200.37,1,0
149.51,10,0
180.26,15,0
203.91,12,0
203.13,11,0
139.35,6,0
158.88,20,0
194.37,15,0
170.38,16,0
179.61,15,0
221.45,3,0
181.05,4,0
179.97,0,0
192.78,7,0
174.71,9,0
168.64,5,0
156.17,17,0
186.51,15,0
173.21,14,0
166.02,12,0
159.14,8,0
207.13,13,0
183.67,14,0
171.29,14,0
200.64,10,0
179.25,12,0
177.43,10,0
180.8,9,0
166.45,17,0
156.41,10,0
172.5,5,0
158.02,8,0
179.76,8,0
163.26,13,0
177.75,12,0
184.44,5,0
187.98,15,0
146.8,18,0
196.9,1,0
171.24,1,0
220.23,2,0
200.41,7,0
207.52,10,0
183.1,14,0
175.04,10,0
173.26,19,0
159.7,11,0
175.37,18,0
198.44,3,0
168.76,5,0
165.87,3,0
145.73,9,0
179.68,0,0
184.94,11,0
227.52,7,0
149.36,9,0
182.32,15,0
200.6,18,0
183.21,13,0
195.43,9,0
185.17,4,0
179.33,5,0
196.17,12,0
183.14,9,0
156.71,17,0
174.79,10,0
174.48,4,0
220.39,7,0
189.07,4,0
152.64,16,0
185.33,8,0
176.88,7,0
171.65,15,0
166.33,8,0
163.94,0,0
192.77,14,0
206.13,9,0
173.2,16,0
171.41,12,0
202.04,7,0
168.84,7,0
178.48,7,0
188.51,13,0
187.13,19,0
192.89,15,0
163.5,9,0
174.78,14,0
182.67,9,0
193.88,9,0
147.55,12,0
182.63,12,0
169.78,15,0
225.68,2,0
206.08,15,0
154.75,13,0
165.07,8,0
197.07,14,0
183.97,11,0
165.07,4,0
213.82,7,0
155.84,13,0
188.57,9,0
199.02,9,0
189.61,16,0
178.34,9,0
187.46,7,0
193.3,7,0
169.02,4,0
165.71,6,0
169.48,1,0
174.91,12,0
171.99,13,0
179.52,8,0
172.02,14,0
161.32,9,0
164.26,11,0
206.47,21,0
158.71,9,0
207.08,4,0
177.63,7,0
193.4,12,0
190.06,19,0
171.15,5,0
198.13,16,0
160.23,4,0
167.46,14,0
195.66,4,0
175.16,13,0
194.29,10,0
188.86,6,0
182.61,10,0
180.45,4,0
191.98,10,0
184.19,14,0
211.8,9,0
199.29,21,0
201.79,1,0
187.37,14,0
215.94,8,0
182.43,9,0
210.69,2,0
212.54,13,0
